timestamps,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,precipAccumulation,latitude,longitude
2020-10-02 10:00:00+00:00,1601632800,Mostly Cloudy,partly-cloudy-night,0.0005,0.03,rain,58.27,58.27,53.33,0.84,1013.5,1.9,3.53,312,0.61,0,10.0,274.2,,42.363796,-71.1087861286
2020-10-02 11:00:00+00:00,1601636400,Mostly Cloudy,partly-cloudy-day,0.0009,0.03,rain,58.65,58.65,53.03,0.82,1013.7,1.8,3.28,1,0.72,0,10.0,272.9,,42.363796,-71.1087861286
2020-10-02 12:00:00+00:00,1601640000,Mostly Cloudy,partly-cloudy-day,0.0,0.0,,59.84,59.84,53.58,0.8,1014.0,2.33,4.74,324,0.6,0,10.0,272.0,,42.363796,-71.1087861286
2020-10-02 13:00:00+00:00,1601643600,Mostly Cloudy,partly-cloudy-day,0.0,0.0,,60.6,60.6,52.72,0.75,1014.0,2.48,4.29,339,0.62,1,10.0,272.8,,42.363796,-71.1087861286
2020-10-02 14:00:00+00:00,1601647200,Mostly Cloudy,partly-cloudy-day,0.0003,0.01,rain,62.47,62.47,52.15,0.69,1014.2,3.72,6.0,333,0.74,2,10.0,272.4,,42.363796,-71.1087861286
2020-10-02 15:00:00+00:00,1601650800,Mostly Cloudy,partly-cloudy-day,0.0008,0.02,rain,64.27,64.27,51.82,0.64,1014.0,6.38,9.17,320,0.75,3,10.0,272.2,,42.363796,-71.1087861286
2020-10-02 16:00:00+00:00,1601654400,Mostly Cloudy,partly-cloudy-day,0.0015,0.03,rain,62.96,62.96,49.97,0.63,1013.8,6.99,11.86,326,0.69,4,10.0,272.2,,42.363796,-71.1087861286
2020-10-02 17:00:00+00:00,1601658000,Mostly Cloudy,partly-cloudy-day,0.0005,0.02,rain,62.41,62.41,50.0,0.64,1013.4,6.78,12.04,327,0.81,4,10.0,272.5,,42.363796,-71.1087861286
2020-10-02 18:00:00+00:00,1601661600,Mostly Cloudy,partly-cloudy-day,0.0007,0.02,rain,61.79,61.79,50.12,0.66,1013.3,7.36,13.33,328,0.73,3,10.0,276.3,,42.363796,-71.1087861286
2020-10-02 19:00:00+00:00,1601665200,Mostly Cloudy,partly-cloudy-day,0.0012,0.03,rain,61.42,61.42,50.33,0.67,1013.2,5.7,11.16,326,0.82,2,10.0,278.7,,42.363796,-71.1087861286
2020-10-02 20:00:00+00:00,1601668800,Mostly Cloudy,partly-cloudy-day,0.001,0.06,rain,60.86,60.86,50.93,0.7,1013.4,4.61,11.36,313,0.71,1,10.0,281.6,,42.363796,-71.1087861286
2020-10-02 21:00:00+00:00,1601672400,Mostly Cloudy,partly-cloudy-day,0.0045,0.14,rain,60.28,60.28,51.86,0.74,1013.9,6.87,12.6,308,0.6,0,10.0,283.6,,42.363796,-71.1087861286
2020-10-02 22:00:00+00:00,1601676000,Partly Cloudy,partly-cloudy-day,0.0009,0.02,rain,59.44,59.44,51.41,0.75,1014.5,6.3,11.9,312,0.42,0,10.0,284.0,,42.363796,-71.1087861286
2020-10-02 23:00:00+00:00,1601679600,Clear,clear-night,0.0,0.0,,57.76,57.76,50.72,0.77,1015.0,5.0,8.8,304,0.24,0,10.0,283.5,,42.363796,-71.1087861286
2020-10-03 00:00:00+00:00,1601683200,Clear,clear-night,0.0,0.0,,55.93,55.93,49.88,0.8,1015.6,4.67,8.35,309,0.12,0,10.0,283.2,,42.363796,-71.1087861286
2020-10-03 01:00:00+00:00,1601686800,Clear,clear-night,0.0008,0.02,rain,54.94,54.94,49.43,0.82,1016.4,4.66,8.3,318,0.08,0,10.0,284.5,,42.363796,-71.1087861286
2020-10-03 02:00:00+00:00,1601690400,Clear,clear-night,0.0,0.0,,53.9,53.9,48.32,0.81,1016.8,4.9,8.77,301,0.1,0,10.0,285.0,,42.363796,-71.1087861286
2020-10-03 03:00:00+00:00,1601694000,Clear,clear-night,0.0,0.0,,52.84,52.84,47.95,0.83,1017.2,3.38,7.13,280,0.07,0,10.0,285.4,,42.363796,-71.1087861286
2020-10-03 04:00:00+00:00,1601697600,Clear,clear-night,0.0,0.0,,52.39,52.39,47.89,0.85,1017.6,3.12,7.04,274,0.07,0,10.0,285.4,,42.363796,-71.1087861286
2020-10-03 05:00:00+00:00,1601701200,Clear,clear-night,0.0,0.0,,51.29,51.29,47.24,0.86,1017.9,3.35,5.75,296,0.07,0,10.0,285.4,,42.363796,-71.1087861286
2020-10-03 06:00:00+00:00,1601704800,Clear,clear-night,0.0003,0.01,rain,50.5,50.5,46.67,0.87,1018.3,4.06,6.69,302,0.13,0,10.0,285.3,,42.363796,-71.1087861286
2020-10-03 07:00:00+00:00,1601708400,Clear,clear-night,0.0,0.0,,49.61,48.73,45.45,0.86,1018.3,3.6,6.54,297,0.18,0,9.796,285.6,,42.363796,-71.1087861286
2020-10-03 08:00:00+00:00,1601712000,Clear,clear-night,0.0009,0.01,rain,49.11,49.11,44.88,0.85,1019.0,2.74,4.9,289,0.16,0,9.563,285.6,,42.363796,-71.1087861286
2020-10-03 09:00:00+00:00,1601715600,Clear,clear-night,0.0,0.0,,48.29,47.56,44.35,0.86,1019.1,3.2,5.11,282,0.1,0,10.0,285.4,,42.363796,-71.1087861286
2020-10-03 10:00:00+00:00,1601719200,Clear,clear-night,0.0,0.0,,47.96,47.29,43.87,0.86,1019.8,3.09,5.69,284,0.14,0,10.0,284.7,,42.363796,-71.1087861286
2020-10-03 11:00:00+00:00,1601722800,Clear,clear-day,0.0002,0.01,rain,47.79,46.01,43.26,0.84,1020.6,4.42,5.89,323,0.09,0,10.0,283.8,,42.363796,-71.1087861286
2020-10-03 12:00:00+00:00,1601726400,Clear,clear-day,0.0,0.0,,49.84,49.84,44.38,0.81,1020.9,2.87,6.52,319,0.02,0,10.0,285.0,,42.363796,-71.1087861286
2020-10-03 13:00:00+00:00,1601730000,Clear,clear-day,0.001,0.01,rain,54.0,54.0,46.74,0.76,1021.7,3.12,6.77,318,0.02,1,10.0,287.5,,42.363796,-71.1087861286
2020-10-03 14:00:00+00:00,1601733600,Clear,clear-day,0.0005,0.01,rain,57.89,57.89,48.13,0.7,1022.1,3.48,5.32,331,0.01,3,10.0,291.0,,42.363796,-71.1087861286
2020-10-03 15:00:00+00:00,1601737200,Clear,clear-day,0.0,0.0,,61.47,61.47,47.13,0.59,1021.9,2.79,6.14,308,0.03,4,10.0,293.3,,42.363796,-71.1087861286
2020-10-03 16:00:00+00:00,1601740800,Clear,clear-day,0.0,0.0,,64.0,64.0,47.51,0.55,1021.9,4.42,8.84,348,0.03,5,10.0,293.1,,42.363796,-71.1087861286
2020-10-03 17:00:00+00:00,1601744400,Clear,clear-day,0.0,0.0,,65.01,65.01,46.56,0.51,1021.3,2.96,7.72,227,0.03,5,10.0,291.8,,42.363796,-71.1087861286
2020-10-03 18:00:00+00:00,1601748000,Clear,clear-day,0.0,0.0,,65.52,65.52,45.82,0.49,1021.0,3.16,8.53,281,0.09,4,10.0,290.8,,42.363796,-71.1087861286
2020-10-03 19:00:00+00:00,1601751600,Clear,clear-day,0.0,0.0,,66.26,66.26,45.74,0.48,1021.2,4.23,10.37,334,0.14,3,10.0,290.4,,42.363796,-71.1087861286
2020-10-03 20:00:00+00:00,1601755200,Clear,clear-day,0.0,0.0,,65.15,65.15,44.69,0.47,1020.8,5.68,10.56,308,0.21,1,10.0,290.2,,42.363796,-71.1087861286
2020-10-03 21:00:00+00:00,1601758800,Clear,clear-day,0.0006,0.01,rain,64.02,64.02,46.28,0.52,1021.3,4.47,9.78,219,0.23,0,10.0,290.7,,42.363796,-71.1087861286
2020-10-03 22:00:00+00:00,1601762400,Clear,clear-day,0.0,0.0,,62.32,62.32,47.11,0.57,1021.9,4.37,8.97,237,0.22,0,10.0,292.2,,42.363796,-71.1087861286
2020-10-03 23:00:00+00:00,1601766000,Clear,clear-night,0.0,0.0,,60.59,60.59,47.77,0.63,1022.3,3.09,6.66,296,0.19,0,10.0,294.4,,42.363796,-71.1087861286
2020-10-04 00:00:00+00:00,1601769600,Clear,clear-night,0.0003,0.01,rain,58.49,58.49,48.06,0.68,1023.3,2.73,5.31,152,0.12,0,10.0,295.8,,42.363796,-71.1087861286
2020-10-04 01:00:00+00:00,1601773200,Clear,clear-night,0.0,0.0,,57.1,57.1,47.94,0.71,1023.9,2.01,3.61,284,0.15,0,10.0,294.2,,42.363796,-71.1087861286
2020-10-04 02:00:00+00:00,1601776800,Clear,clear-night,0.0008,0.01,rain,55.97,55.97,46.77,0.71,1024.4,3.59,6.63,320,0.15,0,10.0,293.2,,42.363796,-71.1087861286
2020-10-04 03:00:00+00:00,1601780400,Clear,clear-night,0.0015,0.01,rain,54.23,54.23,45.47,0.72,1024.7,3.82,7.5,294,0.17,0,10.0,292.5,,42.363796,-71.1087861286
2020-10-04 04:00:00+00:00,1601784000,Clear,clear-night,0.0,0.0,,53.11,53.11,45.17,0.74,1024.8,4.05,7.29,308,0.11,0,10.0,292.7,,42.363796,-71.1087861286
2020-10-04 05:00:00+00:00,1601787600,Clear,clear-night,0.0,0.0,,49.06,47.48,44.38,0.84,1024.9,4.44,8.18,296,0.14,0,10.0,293.2,,42.363796,-71.1087861286
2020-10-04 06:00:00+00:00,1601791200,Clear,clear-night,0.0,0.0,,50.32,50.32,43.29,0.77,1025.3,4.48,8.64,311,0.12,0,10.0,293.2,,42.363796,-71.1087861286
2020-10-04 07:00:00+00:00,1601794800,Clear,clear-night,0.0,0.0,,49.61,48.29,42.66,0.77,1025.2,4.17,7.43,311,0.11,0,10.0,292.5,,42.363796,-71.1087861286
2020-10-04 08:00:00+00:00,1601798400,Clear,clear-night,0.0,0.0,,48.77,48.22,42.1,0.78,1025.2,3.07,7.29,304,0.08,0,10.0,291.5,,42.363796,-71.1087861286
2020-10-04 09:00:00+00:00,1601802000,Clear,clear-night,0.0006,0.01,rain,47.49,46.42,41.63,0.8,1025.6,3.46,6.47,306,0.08,0,10.0,290.5,,42.363796,-71.1087861286
2020-10-04 10:00:00+00:00,1601805600,Clear,clear-night,0.0008,0.01,rain,46.54,44.74,41.14,0.81,1025.9,4.16,7.55,315,0.09,0,10.0,289.4,,42.363796,-71.1087861286
2020-10-04 11:00:00+00:00,1601809200,Clear,clear-day,0.0006,0.01,rain,46.45,45.28,40.4,0.79,1026.3,3.41,5.58,307,0.05,0,10.0,288.4,,42.363796,-71.1087861286
2020-10-04 12:00:00+00:00,1601812800,Clear,clear-day,0.0,0.0,,48.48,47.11,41.52,0.77,1026.6,4.0,7.13,318,0.06,0,10.0,285.3,,42.363796,-71.1087861286
2020-10-04 13:00:00+00:00,1601816400,Clear,clear-day,0.0,0.0,,52.43,52.43,42.93,0.7,1026.7,4.09,6.91,338,0.08,1,10.0,285.0,,42.363796,-71.1087861286
2020-10-04 14:00:00+00:00,1601820000,Clear,clear-day,0.0,0.0,,56.51,56.51,43.07,0.61,1026.7,3.09,5.42,357,0.11,3,10.0,285.1,,42.363796,-71.1087861286
2020-10-04 15:00:00+00:00,1601823600,Clear,clear-day,0.0,0.0,,59.53,59.53,40.92,0.5,1026.2,2.13,3.66,354,0.13,4,10.0,285.1,,42.363796,-71.1087861286
2020-10-04 16:00:00+00:00,1601827200,Clear,clear-day,0.0,0.0,,61.87,61.87,39.86,0.44,1025.6,3.02,4.85,16,0.13,5,10.0,284.4,,42.363796,-71.1087861286
2020-10-04 17:00:00+00:00,1601830800,Clear,clear-day,0.0,0.0,,63.69,63.69,40.33,0.42,1025.1,3.47,5.01,64,0.12,5,10.0,283.7,,42.363796,-71.1087861286
2020-10-04 18:00:00+00:00,1601834400,Clear,clear-day,0.0,0.0,,65.37,65.37,40.48,0.4,1024.4,3.45,6.19,80,0.11,4,10.0,278.9,,42.363796,-71.1087861286
2020-10-04 19:00:00+00:00,1601838000,Clear,clear-day,0.0,0.0,,65.07,65.07,39.86,0.4,1023.9,4.85,7.16,95,0.08,3,10.0,278.7,,42.363796,-71.1087861286
2020-10-04 20:00:00+00:00,1601841600,Clear,clear-day,0.0,0.0,,63.46,63.46,40.42,0.43,1023.2,7.16,8.84,74,0.05,1,10.0,279.2,,42.363796,-71.1087861286
2020-10-04 21:00:00+00:00,1601845200,Clear,clear-day,0.0,0.0,,62.09,62.09,41.42,0.47,1023.3,6.14,10.09,88,0.03,0,10.0,279.9,,42.363796,-71.1087861286
2020-10-04 22:00:00+00:00,1601848800,Clear,clear-day,0.0009,0.01,rain,60.71,60.71,42.84,0.52,1022.9,5.63,10.12,91,0.09,0,10.0,280.5,,42.363796,-71.1087861286
2020-10-04 23:00:00+00:00,1601852400,Clear,clear-night,0.0,0.0,,58.86,58.86,43.75,0.57,1022.5,4.89,10.87,99,0.13,0,10.0,281.2,,42.363796,-71.1087861286
2020-10-05 00:00:00+00:00,1601856000,Clear,clear-night,0.0012,0.01,rain,56.66,56.66,46.68,0.69,1022.8,3.98,8.68,104,0.18,0,10.0,282.0,,42.363796,-71.1087861286
2020-10-05 01:00:00+00:00,1601859600,Partly Cloudy,partly-cloudy-night,0.0,0.0,,56.02,56.02,48.22,0.75,1022.6,3.37,7.86,92,0.35,0,10.0,282.3,,42.363796,-71.1087861286
2020-10-05 02:00:00+00:00,1601863200,Partly Cloudy,partly-cloudy-night,0.0003,0.02,rain,56.54,56.54,49.96,0.79,1022.8,4.11,9.18,74,0.48,0,10.0,282.2,,42.363796,-71.1087861286
2020-10-05 03:00:00+00:00,1601866800,Partly Cloudy,partly-cloudy-night,0.0005,0.03,rain,56.45,56.45,51.02,0.82,1022.7,3.19,7.83,67,0.5,0,10.0,283.4,,42.363796,-71.1087861286
2020-10-05 04:00:00+00:00,1601870400,Mostly Cloudy,partly-cloudy-night,0.0012,0.05,rain,56.91,56.91,51.73,0.83,1022.1,4.24,8.02,43,0.66,0,10.0,286.6,,42.363796,-71.1087861286
2020-10-05 05:00:00+00:00,1601874000,Mostly Cloudy,partly-cloudy-night,0.0043,0.1,rain,56.46,56.46,51.76,0.84,1021.5,4.05,7.45,38,0.7,0,10.0,291.0,,42.363796,-71.1087861286
2020-10-05 06:00:00+00:00,1601877600,Mostly Cloudy,partly-cloudy-night,0.0069,0.12,rain,56.23,56.23,51.15,0.83,1021.0,4.91,9.77,34,0.77,0,10.0,295.9,,42.363796,-71.1087861286
2020-10-05 07:00:00+00:00,1601881200,Overcast,cloudy,0.0332,0.22,rain,56.61,56.61,51.44,0.83,1020.5,4.71,9.65,32,0.88,0,10.0,299.6,,42.363796,-71.1087861286
2020-10-05 08:00:00+00:00,1601884800,Overcast,cloudy,0.0162,0.25,rain,56.46,56.46,51.55,0.84,1020.3,4.75,9.4,27,0.88,0,10.0,303.2,,42.363796,-71.1087861286
2020-10-05 09:00:00+00:00,1601888400,Possible Light Rain,rain,0.0155,0.26,rain,55.67,55.67,50.86,0.84,1020.3,5.2,11.02,22,0.86,0,10.0,307.8,,42.363796,-71.1087861286
2020-10-05 10:00:00+00:00,1601892000,Possible Light Rain,rain,0.0166,0.26,rain,55.12,55.12,51.15,0.86,1020.4,5.64,11.15,15,0.69,0,10.0,314.5,,42.363796,-71.1087861286
2020-10-05 11:00:00+00:00,1601895600,Possible Light Rain,rain,0.0171,0.29,rain,54.9,54.9,51.35,0.88,1020.6,5.83,12.1,16,0.82,0,10.0,322.0,,42.363796,-71.1087861286
2020-10-05 12:00:00+00:00,1601899200,Possible Light Rain,rain,0.0148,0.29,rain,55.03,55.03,51.45,0.88,1020.9,6.33,12.69,8,0.86,0,9.803,328.2,,42.363796,-71.1087861286
2020-10-05 13:00:00+00:00,1601902800,Overcast,cloudy,0.0102,0.19,rain,55.88,55.88,52.09,0.87,1021.5,6.51,11.61,14,0.93,1,9.933,333.4,,42.363796,-71.1087861286
2020-10-05 14:00:00+00:00,1601906400,Overcast,cloudy,0.0036,0.1,rain,56.22,56.22,52.3,0.87,1022.1,5.48,11.91,12,0.91,2,10.0,332.8,,42.363796,-71.1087861286
2020-10-05 15:00:00+00:00,1601910000,Rain,rain,0.0682,0.39,rain,57.79,57.79,52.86,0.84,1022.1,5.46,10.93,24,0.88,2,10.0,330.6,,42.363796,-71.1087861286
2020-10-05 16:00:00+00:00,1601913600,Mostly Cloudy,partly-cloudy-day,0.0024,0.05,rain,58.67,58.67,52.88,0.81,1022.0,5.91,9.67,23,0.83,3,10.0,326.3,,42.363796,-71.1087861286
2020-10-05 17:00:00+00:00,1601917200,Mostly Cloudy,partly-cloudy-day,0.0011,0.02,rain,59.53,59.53,52.8,0.78,1021.6,6.4,9.04,20,0.64,3,10.0,320.3,,42.363796,-71.1087861286
2020-10-05 18:00:00+00:00,1601920800,Partly Cloudy,partly-cloudy-day,0.0011,0.01,rain,61.29,61.29,53.02,0.74,1021.2,3.85,6.42,43,0.53,3,10.0,316.3,,42.363796,-71.1087861286
2020-10-05 19:00:00+00:00,1601924400,Partly Cloudy,partly-cloudy-day,0.0006,0.01,rain,63.01,63.01,53.0,0.7,1021.1,3.68,5.81,83,0.42,2,10.0,315.0,,42.363796,-71.1087861286
2020-10-05 20:00:00+00:00,1601928000,Partly Cloudy,partly-cloudy-day,0.0004,0.01,rain,61.98,61.98,52.51,0.71,1021.2,5.56,6.47,50,0.33,1,10.0,315.1,,42.363796,-71.1087861286
2020-10-05 21:00:00+00:00,1601931600,Clear,clear-day,0.0007,0.02,rain,60.51,60.51,52.67,0.75,1021.3,4.07,6.12,68,0.27,0,10.0,315.0,,42.363796,-71.1087861286
2020-10-05 22:00:00+00:00,1601935200,Clear,clear-day,0.0,0.0,,59.47,59.47,53.11,0.79,1021.3,4.17,6.09,79,0.11,0,10.0,314.0,,42.363796,-71.1087861286
2020-10-05 23:00:00+00:00,1601938800,Clear,clear-night,0.0003,0.01,rain,57.34,57.34,52.8,0.85,1021.9,4.62,6.92,98,0.05,0,10.0,312.6,,42.363796,-71.1087861286
2020-10-06 00:00:00+00:00,1601942400,Clear,clear-night,0.0004,0.01,rain,56.1,56.1,52.52,0.88,1022.1,3.84,6.29,116,0.02,0,10.0,310.8,,42.363796,-71.1087861286
2020-10-06 01:00:00+00:00,1601946000,Clear,clear-night,0.0,0.0,,55.28,55.28,52.53,0.9,1022.2,2.65,4.71,152,0.02,0,10.0,308.5,,42.363796,-71.1087861286
2020-10-06 02:00:00+00:00,1601949600,Clear,clear-night,0.0,0.0,,54.38,54.38,51.86,0.91,1022.4,2.56,4.39,171,0.15,0,10.0,304.7,,42.363796,-71.1087861286
2020-10-06 03:00:00+00:00,1601953200,Clear,clear-night,0.0008,0.02,rain,53.62,53.62,51.35,0.92,1022.7,2.73,6.0,181,0.22,0,9.017,301.6,,42.363796,-71.1087861286
2020-10-06 04:00:00+00:00,1601956800,Clear,clear-night,0.0,0.0,,53.0,53.0,50.84,0.92,1022.6,3.63,6.77,186,0.3,0,9.053,299.8,,42.363796,-71.1087861286
2020-10-06 05:00:00+00:00,1601960400,Partly Cloudy,partly-cloudy-night,0.0004,0.01,rain,52.45,52.45,50.26,0.92,1022.5,3.82,6.42,202,0.43,0,7.518,298.7,,42.363796,-71.1087861286
2020-10-06 06:00:00+00:00,1601964000,Partly Cloudy,partly-cloudy-night,0.0006,0.01,rain,51.92,51.92,49.5,0.91,1022.5,3.67,6.45,221,0.44,0,7.296,296.7,,42.363796,-71.1087861286
2020-10-06 07:00:00+00:00,1601967600,Partly Cloudy,partly-cloudy-night,0.0005,0.01,rain,51.77,51.77,49.38,0.92,1022.4,3.2,6.71,208,0.44,0,7.37,294.7,,42.363796,-71.1087861286
2020-10-06 08:00:00+00:00,1601971200,Partly Cloudy,partly-cloudy-night,0.0,0.0,,52.73,52.73,49.5,0.89,1022.2,2.96,5.47,203,0.41,0,8.282,292.6,,42.363796,-71.1087861286
2020-10-06 09:00:00+00:00,1601974800,Partly Cloudy,partly-cloudy-night,0.0004,0.01,rain,50.15,50.15,48.85,0.95,1022.3,2.64,5.16,196,0.46,0,7.897,290.9,,42.363796,-71.1087861286
2020-10-06 10:00:00+00:00,1601978400,Partly Cloudy,partly-cloudy-night,0.0013,0.01,rain,49.36,48.66,48.36,0.96,1022.4,3.33,5.75,197,0.44,0,8.926,289.8,,42.363796,-71.1087861286
2020-10-06 11:00:00+00:00,1601982000,Partly Cloudy,partly-cloudy-day,0.0008,0.01,rain,52.57,52.57,49.03,0.88,1022.5,2.5,4.67,201,0.39,0,10.0,289.2,,42.363796,-71.1087861286
2020-10-06 12:00:00+00:00,1601985600,Partly Cloudy,partly-cloudy-day,0.0,0.0,,53.91,53.91,50.19,0.87,1022.4,2.63,5.79,191,0.42,0,10.0,289.4,,42.363796,-71.1087861286
2020-10-06 13:00:00+00:00,1601989200,Partly Cloudy,partly-cloudy-day,0.0,0.0,,57.65,57.65,53.06,0.85,1022.4,3.83,8.82,179,0.42,1,10.0,289.7,,42.363796,-71.1087861286
2020-10-06 14:00:00+00:00,1601992800,Partly Cloudy,partly-cloudy-day,0.0,0.0,,61.12,61.12,54.1,0.78,1022.0,5.71,11.34,178,0.41,2,10.0,290.3,,42.363796,-71.1087861286
2020-10-06 15:00:00+00:00,1601996400,Partly Cloudy,partly-cloudy-day,0.0,0.0,,64.72,64.72,53.41,0.67,1021.2,6.65,11.05,172,0.39,3,10.0,290.5,,42.363796,-71.1087861286
2020-10-06 16:00:00+00:00,1602000000,Partly Cloudy,partly-cloudy-day,0.0,0.0,,65.98,65.98,50.49,0.57,1020.3,7.78,14.66,160,0.35,4,10.0,289.8,,42.363796,-71.1087861286
2020-10-06 17:00:00+00:00,1602003600,Partly Cloudy,partly-cloudy-day,0.0,0.0,,67.7,67.7,50.43,0.54,1019.0,8.88,18.7,169,0.32,4,10.0,288.8,,42.363796,-71.1087861286
2020-10-06 18:00:00+00:00,1602007200,Clear,clear-day,0.0,0.0,,68.77,68.77,50.66,0.52,1017.7,8.63,18.04,155,0.28,4,10.0,288.0,,42.363796,-71.1087861286
2020-10-06 19:00:00+00:00,1602010800,Partly Cloudy,partly-cloudy-day,0.0,0.0,,69.2,69.2,49.87,0.5,1017.0,9.35,18.01,177,0.35,2,10.0,285.7,,42.363796,-71.1087861286
2020-10-06 20:00:00+00:00,1602014400,Partly Cloudy,partly-cloudy-day,0.0,0.0,,68.09,68.09,49.07,0.51,1016.5,8.25,18.66,181,0.33,1,10.0,286.0,,42.363796,-71.1087861286
2020-10-06 21:00:00+00:00,1602018000,Partly Cloudy,partly-cloudy-day,0.0,0.0,,66.56,66.56,51.35,0.58,1015.8,10.01,16.65,184,0.34,0,10.0,286.2,,42.363796,-71.1087861286
2020-10-06 22:00:00+00:00,1602021600,Partly Cloudy,partly-cloudy-day,0.0,0.0,,64.06,64.06,54.0,0.7,1015.4,9.8,18.99,177,0.33,0,10.0,286.3,,42.363796,-71.1087861286
2020-10-06 23:00:00+00:00,1602025200,Clear,clear-night,0.0,0.0,,61.89,61.89,54.36,0.76,1015.0,8.86,18.18,168,0.28,0,10.0,286.2,,42.363796,-71.1087861286
2020-10-07 00:00:00+00:00,1602028800,Clear,clear-night,0.0,0.0,,60.1,60.1,54.24,0.81,1014.9,7.13,16.43,188,0.2,0,10.0,285.9,,42.363796,-71.1087861286
2020-10-07 01:00:00+00:00,1602032400,Clear,clear-night,0.0,0.0,,58.87,58.87,54.8,0.86,1014.8,6.69,14.48,175,0.2,0,10.0,285.9,,42.363796,-71.1087861286
2020-10-07 02:00:00+00:00,1602036000,Clear,clear-night,0.0,0.0,,58.34,58.34,54.88,0.88,1014.5,5.75,13.68,183,0.17,0,10.0,286.2,,42.363796,-71.1087861286
2020-10-07 03:00:00+00:00,1602039600,Clear,clear-night,0.0,0.0,,57.52,57.52,54.56,0.9,1013.8,6.28,14.64,185,0.07,0,10.0,286.0,,42.363796,-71.1087861286
2020-10-07 04:00:00+00:00,1602043200,Clear,clear-night,0.0007,0.01,rain,56.69,56.69,53.5,0.89,1013.3,6.07,15.15,207,0.04,0,10.0,284.6,,42.363796,-71.1087861286
2020-10-07 05:00:00+00:00,1602046800,Clear,clear-night,0.0008,0.01,rain,56.58,56.58,52.33,0.86,1012.5,6.38,15.54,211,0.12,0,10.0,282.6,,42.363796,-71.1087861286
2020-10-07 06:00:00+00:00,1602050400,Partly Cloudy,partly-cloudy-night,0.0,0.0,,56.87,56.87,52.0,0.84,1011.2,6.6,16.25,212,0.4,0,10.0,281.7,,42.363796,-71.1087861286
2020-10-07 07:00:00+00:00,1602054000,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,57.18,57.18,52.24,0.84,1010.7,7.15,16.15,216,0.63,0,10.0,282.9,,42.363796,-71.1087861286
2020-10-07 08:00:00+00:00,1602057600,Mostly Cloudy,partly-cloudy-night,0.0005,0.01,rain,58.26,58.26,52.78,0.82,1010.1,7.32,15.02,202,0.73,0,10.0,285.2,,42.363796,-71.1087861286
2020-10-07 09:00:00+00:00,1602061200,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,58.09,58.09,52.54,0.82,1009.2,6.55,15.14,230,0.63,0,10.0,286.9,,42.363796,-71.1087861286
2020-10-07 10:00:00+00:00,1602064800,Mostly Cloudy,partly-cloudy-night,0.0,0.0,,57.37,57.37,52.1,0.83,1008.6,6.77,15.1,226,0.61,0,10.0,287.7,,42.363796,-71.1087861286
2020-10-07 11:00:00+00:00,1602068400,Partly Cloudy,partly-cloudy-day,0.0008,0.01,rain,57.21,57.21,51.9,0.82,1008.3,6.56,14.71,216,0.54,0,10.0,287.9,,42.363796,-71.1087861286
2020-10-07 12:00:00+00:00,1602072000,Partly Cloudy,partly-cloudy-day,0.0006,0.01,rain,58.12,58.12,52.5,0.82,1007.9,6.76,16.48,208,0.44,0,10.0,288.0,,42.363796,-71.1087861286
2020-10-07 13:00:00+00:00,1602075600,Clear,clear-day,0.0,0.0,,61.41,61.41,54.51,0.78,1006.8,8.39,17.78,219,0.25,1,10.0,294.1,,42.363796,-71.1087861286
2020-10-07 14:00:00+00:00,1602079200,Clear,clear-day,0.0,0.0,,65.18,65.18,55.13,0.7,1005.6,7.73,18.71,216,0.09,2,10.0,293.4,,42.363796,-71.1087861286
2020-10-07 15:00:00+00:00,1602082800,Clear,clear-day,0.0,0.0,,68.95,68.95,55.32,0.62,1004.0,8.41,19.43,211,0.08,4,10.0,292.2,,42.363796,-71.1087861286
2020-10-07 16:00:00+00:00,1602086400,Clear,clear-day,0.0003,0.01,rain,71.78,71.78,54.8,0.55,1002.8,10.46,23.02,200,0.06,5,10.0,290.2,,42.363796,-71.1087861286
2020-10-07 17:00:00+00:00,1602090000,Clear,clear-day,0.0,0.0,,74.13,74.13,53.4,0.48,1000.5,13.91,27.14,201,0.07,5,10.0,287.5,,42.363796,-71.1087861286
2020-10-07 18:00:00+00:00,1602093600,Partly Cloudy,partly-cloudy-day,0.0,0.0,,73.83,73.83,52.65,0.48,998.9,12.63,26.25,223,0.39,3,10.0,285.7,,42.363796,-71.1087861286
2020-10-07 19:00:00+00:00,1602097200,Partly Cloudy,partly-cloudy-day,0.0002,0.01,rain,72.33,72.33,53.96,0.52,998.4,11.94,27.3,221,0.57,2,10.0,284.3,,42.363796,-71.1087861286
2020-10-07 20:00:00+00:00,1602100800,Partly Cloudy,partly-cloudy-day,0.0028,0.04,rain,70.75,70.75,53.86,0.55,997.7,12.29,27.4,239,0.59,1,10.0,286.5,,42.363796,-71.1087861286
2020-10-07 21:00:00+00:00,1602104400,Mostly Cloudy,partly-cloudy-day,0.0036,0.06,rain,69.19,69.19,53.91,0.58,997.8,16.24,28.77,247,0.64,0,10.0,288.9,,42.363796,-71.1087861286
